date,kappa,C,turnover
2008-04-09,518.4615558221835,17081.27815114451,0.0019629724556661596
2008-04-10,513.692314333835,16920.660671899357,0.0010704171381775394
2008-04-11,515.1037264640182,16942.032588480823,0.0024862027750052976
2008-04-14,515.0441542470102,16850.816858213664,0.0018267330849785681
2008-04-15,511.96168245153143,16866.6186447569,0.0010179825638830433
2008-04-16,523.6269522617716,17003.16966331885,0.0031315146467891727
2008-04-17,520.8903630996997,16847.416522117448,0.0016544993407199872
2008-04-18,520.8362438720973,16968.558288639528,0.003921003623246759
2008-04-21,516.7251299941296,17176.27031685939,0.002544634227960668
2008-04-22,505.8036405900797,17087.536311745534,0.00223925960861269
2008-04-23,509.18796662957675,17195.71750092262,0.0027755120567317312
2008-04-24,494.1294957275179,16462.212418557854,0.006535926492607218
2008-04-25,490.22925150341155,16615.70991178155,0.002188806226692366
2008-04-28,490.8198602812412,16558.68229786223,0.002348112479473417
2008-04-29,486.69264277288255,16451.99038467532,0.002605627846550787
2008-04-30,485.1019631140595,16394.579073549234,0.0015771009094422105
2008-05-01,484.8845618871562,16195.819163501925,0.00832998255937616
2008-05-02,479.24348311240726,15431.106460476562,0.006332482407192086
2008-05-05,466.7148916210635,15300.897312147672,0.003915434412477728
2008-05-06,468.0549968633386,15389.343356087931,0.003955125820695005
2008-05-07,476.8778268584087,15727.233490686049,0.0036497460560346723
2008-05-08,476.60371661217,15475.737985815866,0.005582122918026273
2008-05-09,467.6471142524936,15491.09537265776,0.0037029380962337287
2008-05-12,474.33355075997946,15449.152104133842,0.003155717225308297
2008-05-13,466.54511221820445,14889.540073274107,0.00464113139060948
2008-05-14,463.6279924208689,14913.210421675378,0.006621354302215821
2008-05-15,446.35469824135214,14156.496033219004,0.003719778397856541
2008-05-16,446.5543224725709,14195.899126311371,0.0010198836898344839
2008-05-19,441.3542174595944,14051.901466177405,0.0020434219046806187
2008-05-20,442.80120581404344,14044.346778223926,0.0003310004573590826
2008-05-21,428.1218645279649,13800.570054246768,0.0030877040377164967
2008-05-22,428.90076998456175,13212.74614107525,0.0054196044861133455
2008-05-23,423.9917357777419,13019.377190959327,0.010089598266579812
2008-05-27,430.061442020703,12602.125957475073,0.008457996992807765
2008-05-28,412.55971192882623,12826.900853708188,0.005886626518349633
2008-05-29,413.591324321063,12827.628837463219,0.0030592989962420734
2008-05-30,400.9496247215364,12870.078284246649,0.006279159606952758
2008-06-02,396.32283260905376,12980.618766571335,0.001500869397083604
2008-06-03,409.6855064581488,13068.711923125195,0.001609251876964684
2008-06-04,409.2429569855644,13055.936453256436,0.005003034792301832
2008-06-05,415.8526545813939,13192.540969868667,0.0027776115893356455
2008-06-06,442.4088824517156,13139.077237782582,0.003831771937061912
2008-06-09,386.5126384940011,12447.572206181738,0.008673026637966718
2008-06-10,382.8103842645366,12307.88193640761,0.005565457629329629
2008-06-11,382.40916377772976,12281.943800902205,0.001180848555229607
2008-06-12,362.3281705508086,11743.34159690797,0.004011916654248639
2008-06-13,364.8575730727244,11517.520322834705,0.004363347130751094
2008-06-16,363.82302207288,12312.61569800288,0.007474104892132315
2008-06-17,357.72003685969725,12687.587820007979,0.009544486332380649
2008-06-18,349.845015181514,12528.730220538697,0.0033953130453058845
2008-06-19,345.2948780165995,12310.997114896878,0.006982128155933194
2008-06-20,352.83552910337863,12980.605108147753,0.004961476347206471
2008-06-23,352.13117737046196,12936.22718772939,0.0023051652987183847
2008-06-24,347.2205368486289,12714.379925634114,0.003931880434017623
2008-06-25,346.81671438390424,12681.891466954397,0.0008602714278068413
2008-06-26,358.4568546600302,12791.366620958148,0.0016640815472868074
2008-06-27,355.3360560358086,12825.876982914708,0.00357442752952224
2008-06-30,355.8759161187114,12978.213306020687,0.004216308314616047
2008-07-01,354.03552643555395,12985.051029584689,0.0006071516319525981
2008-07-02,360.6449546335342,13152.951143437444,0.009655976200820975
2008-07-03,367.5934806957773,13153.095626170589,0.001031567183260515
2008-07-07,357.29420314772335,13322.439537777798,0.006185111365010581
2008-07-08,368.119886391282,13009.966120994226,0.007310436033612044
2008-07-09,377.8993617109003,13062.858184388095,0.0029527364886299118
2008-07-10,374.0971037115259,12916.968653546119,0.0045833241213040984
2008-07-11,402.7880980275829,12269.509218201601,0.0065759266332809825
2008-07-14,404.61252391785024,12328.480643388895,0.0008326022716772137
2008-07-15,401.17161783017946,12423.371980830394,0.013149822948730513
2008-07-16,407.36878567251523,12264.231404221668,0.004552461169265519
2008-07-17,405.41085794032335,12347.466210269098,0.005145407966747714
2008-07-18,405.1040545503125,12267.271893223418,0.0017801090646259246
